,User,Tweet
51,WEMP_DB,"{'np', 'NowPlaying', 'Rush', 'Sawyer', 'radio', 't.co/6YrLy2mloC', 'ClassicRock', 'tunein', 'AllGenres', 'Pop', 'https', 'music', 'Tom'}"
52,Tcce07,"{'trending', 'witty', 'WittyCat', 'hype', 'FlashCalls', 'RT', 'originated', 'token', 'an…', 'wittycatbsc', 'meme', 'away', '2', 'WL', 'We', 'BSC', 'giving', 'based'}"
53,sotelam1,"{'SamuelG69328689', 'trending', 'AirbenderPosts', 'BTSJIMIN…', 'GOOD', 'LIKE', 'RT', 'WithYou', 'Hot', 'JIMIN', 'My', 'BTS_twt', 'Billboard', 'choice', 'song', 'BE'}"
54,JlEbqAkZKSdo40o,"{'2022', 'trending', '’', 'hot', 'GOOD', 'bbehjmsg', 'BT…', 'LIKE', 'RT', 'WithYou', 'listening', 'JIMIN', '58jimin13', 'BTS_twt', 'BTSJIMIN', 'I', 'ost', 'BE'}"
55,Loana33152186,"{'Song', 'Choice', 'Trending', 'voting', 'RT', 'BTS', ""'m"", 'kimiint', 'My', 'BTS_twt', 'I', 'YetToCome'}"
56,SwathiG92053708,"{'trending', 'TwitterIndia', 'Trending', 'India', 'neuroayush', 'list', 'showing', 'app', 'RT', 'TwitterSupport', 'Justic…', 'elonmusk', '4th', 'Why', ""'s""}"
57,drnarendradamor,"{'1st', 'Trending', '🔥🔥', 'Spot', 'RT', 'Target', 't.co/huBG1AUdXF', 'guys', 'JusticeForDoctors', 'dentodontics', 'Let', 'https', 'Trend', '2nd', ""'s""}"
58,dearbangtan_77,"{'goes', 'Song', 'Choice', 'Trending', 'RT', 'BTS', 'charlen84068484', 'My', 'BTS_twt', 'YetToCome', '￼', '💜'}"
59,00Pataya,"{'trending', '05.30', '06.00', 'Tag', 'RT', '13.05.2021', 'Start', 'PM', 'ไลฟ์', 'gt', 'LIVE', 'วินไม่ซีเรียสแต่ซีเรียล', 'kaekaijingjing', '07.00', '📍ht…', '📢', 'Exclusive'}"
60,goodi_jm,"{'2022', 'trending', 'hot', 'GOOD', 'LIKE', 'RT', 'listen', 'BTS', 'WithYou', 'JIMIN', 'BTS_twt', 'BTSJIMIN', 'jmonlyjm', 'and…', 'song', 'BE', 'love', 'I'}"
61,AKelley0013,"{'KEEP', '💜💜💜', 'RT', 'GOING', 'YOU', 'ARMYCensus', 'THANK', 'You', 'QUICK'}"
62,dearbangtan_77,"{'Song', 'Choice', 'Trending', 'RT', 'BTS', 'charlen84068484', 'My', 'BTS_twt', 'YetToCome', '￼', 'goes'}"
63,jsjm1013,"{'1', 'm…', 'HOT', 'JiminUnited', 'RT', '501,471', 'mentions', 'REPLY', 'You', 'using', '🔺', 'Updated', 'KST', '10AM', 'SONGS', 'TRENDING', 'tags', 'Keep', 'With', 'BILLBOARD', '—'}"
64,mlcTcdAX6jOfKC0,"{'’', 'The', 'listened', 'GOOD', 'LIKE', 'RT', 'ever', 'WithYou', 'BTS', 'OST', 'giovanna_gigi13', 'JIMIN', 'BTSJIMIN', 'I', 'BTS_twt…', 'BE', 'beautiful'}"
65,0s6nV4UuDikw11A,"{'trending', 'hot', 'RT', 'WithYou', 'BTS', ""'m"", 'BEST', 'listening', 'HaruuGirlfriend', 'JIMIN', 'BOY', 'BTS_twt', 'BTSJIMIN', 'BTS_t…', 'song', 'I', 'NoAbsNoLIfe'}"
66,papaninong,"{'viral', 's…', 'Trending', 'global', 'RT', 'SuperTuna_Jin', '2021', 'OST', 'Hot', 'Listen', 'BTS_twt', 'hit', 'jinnieslamp', 'dalgonagamja1', 'Yours_Jin', 'best'}"
67,MyBias4everJM,"{'still', 'JIMIN', 'BTSJIMIN', 'h', 'beautiful', 'hot', 'BTS', ""'m"", 'song', 'I', 'love', 'WithYou', 'My', 't.co/hzWFiFeBi8', 'choice', 'BTS_twt', 'https', 'trending', 'jiminmugIer', 'BB', 'Sungwoon'}"
68,sotelam1,"{'Jimin', 'AirbenderPosts', 'GOOD', 'much', 'thinking', 'RT', 'LIKE', 'anjim1014', 'While', 'listening', 'JIMIN', 'feel', 'BTS_twt', 'I', 'BE', 'trendi…', 'love'}"
69,CrzdNem,"{'Song', 'Choice', 'Trending', 'taesugarsw', 'voting', 'RT', 'BTS', ""'m"", 'My', 'BTS_twt', 'snowflowergifts', 'BTS_Butter', 'I'}"
70,gimsunyeong14,"{'trending', 'sotelam2', 'favorite', 'GOOD', 'JiminUnited', 'LIKE', 'RT', 'jendelossantos4', 'definit…', 'JIMIN', 'tillDendjimin02', 'BTS_twt', 'My', 'Billboard', 'song', 'BE'}"
71,BTSUARMYY,"{'trending', 'KIM', 'BTS', 'NAMJOON', 'kimiint', 'My', 'BTS_twt', 'choice', 'song', 'YetToCome'}"
72,BF04RYU,"{'Betrayal', 'Gifted', 'ByeGoodBye', ""'s"", 'Bye-Good-Bye', 'BEFIRST', '＊', 'Game', 'me．BE', 'FIRST', 'heal'}"
73,cappuccino9510,"{'trending', 'favorite', 'RT', 'definitely', 'WithYou', 'BTS', 'http…', 'kk2010633', '앜', 'JIMIN', 'My', 'Billboard', 'BTSJIMIN', '귀여~~~♡', 'BTS_twt', 'song', 'Sungwoon'}"
74,07_JIMIN1013,"{'2022', 'Jimin', 'trending', 'Congratulations', '’', 'SerendipityCombined300M', 'hot', 'by…', 'RT', 'WithYou', 'listening', 'lighttinyjimin', 'veinchimmy', 'I', 'ost'}"
75,Unbothered728,"{'Ben', 'QB', '’', 'jpafootball', '”', 'safe', 'gerrydulac', 'bad', 'RT', 'Trending', 'assume', 'Steelers', '“', 'blood', 'Roe…', 'says'}"
76,mksai92904,"{'struggles', 'mansukhmandviya', 'Have', 'PMOIndia', 'heard', 'knew', 'life', 'full', 'OfficeOf_MM', 'MoHFW_INDIA', 'JusticeForDoctors', 'NMC_IND', 'struggle', 'rights', 'doc', 'never'}"
77,MrRSMeena,"{'Rajasthan', 'ishubaadshah84', 'Trending', 'India', 'Tweet', 'RT', 'राजस्थान_मांगे_बुलडोजर', 'needs', 'Retweet', 'Support', 'bulldozer'}"
78,888Life,"{'screens', 'ure', 'sexy', 'cult', 'tropical_dreamsma', 'Throwback', 'bass', 'sub', 'weare.thesubculture', 'vkash', 'Room', 't.co/RwBZozxEhx', 'https', 'music', 'wubson', 'getting'}"
79,lighttinyjimin,"{'2022', 'Jimin', 'trending', 'Congratulations', '’', 'SerendipityCombined300M', 'hot', 'chimmyell', 'WithYou', 'BTS', 'listening', 'JIMIN', 'BTS_twt', 'BTSJIMIN', 'I', 'ost', 'Sungwoon'}"
80,sansethiquotes,"{'travel', 't.co/xXTBjafPpr', 'Trending', 'TrendingNow', 'malyasia', 'Travel', 'https', 'Malaysia'}"
81,rain_on_leaves,"{'trending', 'BTS…', 'favorite', 'SerieTV46', 'RT', 'definitely', 'WithYou', 'BTS', 'My', 'Billboard', 'BTS_twt', 'JIMIN', 'BTSJIMIN', 'song', 'P_Jiminbelle', 'BLACKPINK'}"
82,ksj1pop,"{'trying/experimenting', 'theJINPRlNT', 'Moon', 'Trending', 'Chart', 'see', 'first', 'RT', 'Songs', 'Hot', 'BB', 'Let', 'Epiphany', 'it…', 'We', 'chart', ""'s""}"
83,AhnGorgeous,"{'trending', 'hot', 'GOOD', 'jimin1013_man', 'With…', 'RT', 'jkownjm', 'LIKE', ""'m"", 'listening', 'challan_jm', 'JIMIN', 'BTS_twt', 'HIT', 'song', 'BE', 'MAKER', 'I'}"
84,jmchimchim1013,"{'2022', 'woohj1013', 'trending', '’', '😊', 'hot', 'https', 'WithYou', 'BTS', 'listening', 'JIMIN', 'BTS_twt', 'BTSJIMIN', 'I', 'ost', 't.co/WF3pYdBkpf', 'Sungwoon'}"
85,Heavens_Funeral,"{'nudity', 'daily', 'sextape', 'porn', 'hentai', 'cum', 'pornstar', 'anal', 'video', 'NSFW', 'pornhub', 'pussy', 'blonde', 't.co/ouEdw302tr', 'love', '🍷', 'girl', 'blowjob', 'cumshot', 'brazzers', 'lesbian', 'nsfw', 'sexy', 'asian', 'tits', 'Follow', 'dose', 'https', 'photo', 'content', 'milf', 'facial', 'sex', 'live', 'teen', 'ass', 'women', 'music', 'nudes'}"
86,SanidhyaTrivedi,"{'trending', 'btsvote_crew', 'RT', 'BTS', '2021', 'Hot', 'My', 'choice', 'BTS_Butter', 'BTS_twt', 'song', 'best'}"
87,fyY1maQMScKkuRS,"{'trending', 'JiminUnited', 'Our', 'RT', 'WithYou', 'BTS', 'JIMIN', 'BTS_twt', 'BTSJIMIN', 'song', 'MardiaPrarthona', 'Sungwoon'}"
88,YadhuNopz,"{'trending', 'SuryaRasign', 'RT', '💥', 'VaadiVaasal'}"
89,azubestysa,"{'Betrayal', 'Gifted', 'ByeGoodBye', ""'s"", 'BEFIRST', 'RT', 'Listening', 'life', 'an72714', 'Game', 'songs', 'like', 'Check', 'Bye-Goo…', 'part', 'huge'}"
90,1365ONLY_JIMIN,"{'2022', 'trending', 'hot', 'GOOD', 'LIKE', 'RT', 'Forever', 'WithYou', 'BTS', 'OST', '…', '맛점하셨어요', 'JIMIN', 'BTSJIMIN', 'BE', 'LYNC35308556', 'love'}"
91,kookieslays,"{'zero', 'ca', 'get', 'namjoonlyricbot', '0:00', 'Stream', 'weverseofficial', 'energy', 'back', 'Thank', 'BTS', 'For', 'BTS_Butter', 'gives', 'song', 'hope', ""n't"", 'things', 'again💜🥺', 'clock', 'tough', 'BTS_twt', 'choice', 'When', ""'s"", 'everything', 'trending', 'India', 'alright'}"
92,Jasmine15830757,"{'whole', 'trending', 'The', '4th', 'saviour', 'RT', 'HarshBisaria', 'life', 'JusticeForDoctors', 'nation', 'speaking', 'INDIA', 'narendramodi…', 'doctors'}"
93,XOXO23288409,"{'✨', 'Trending', '천러', 'RT', 'Fairy', 't.co/R8MDK3G1aK', 'CHENLE', 'zchhoenngle', 'https', '220513'}"
94,ibamiiiii,"{'trending', 'Song', 'Choice', 'Beckyg', 'RT', 'CNS', 'Listen', 'My', 'feat', 'BTS_twt', 'urirapline', 'ChickenNoodleSoup', 'JHOPE'}"
95,hseisy_,"{'BTSJIN', 'kiwikookmin', 'viral', 'trending', 'global', 'song', 'RT', 'SuperTuna_Jin', '2021', 'OST', 'Listen', 'hit', 'choi…', 'Yours_Jin', 'best'}"
96,_overvieweffect,"{'Jungkook', 'Song', 'Choice', 'Trending', 'Is', 'SPOTIFY', 'RT', 'Yohany81362507', 'Daily_JKUpdate', 'StayAlive', 'Prod', 'JUNGKOOK', 'Suga', 'BTS_twt', 'KING'}"
97,9jW0iYpv0HsUsRo,"{'trending', 'AirbenderPosts', 'favorite', 'RT', 'sanzimim', 'definitely', 'WithYou', 'BTS', 'an…', 'My', 'Billboard', 'BTS_twt', 'JIMIN', 'BTSJIMIN', 'song'}"
98,snsdsjjd,"{'trending', 'BaeksangArtsAwards2022', 'News', 'RT', 'Naver', 'Best', '…', 'Rainie_mikevid', 'Article', 'voted', '2', 'YoonA', 'Most', 'Read', 'Dressed'}"
99,Ramkish98215750,"{'Along', 'coin', 'adscoincrypto', 'RT', 'adscoin', '👍✌️🤗💥🎊🎉', 'growing', 'ads', 'group', 'adsgro…', 'also', 'community', 'adscoinofficial'}"
100,khurram_B7,"{'trending', 'TREND', 'MushaalMullick', 'Pakistan', 'right', 'countries', 'number', 'TOP', 'RT', 'done', 'It', 'everyone…', 'Well', 'ReleaseYasinMalik'}"
101,ko0xmin,"{'2022', 'Jimin', 'ko0xmin', 'Congratulations', 'trending', 'SerendipityCombined300M', 'hot', '’', 'RT', 'WithYou', 'listening', 'lighttinyjimin', 'I', 'ost', 'JI…'}"
102,9jW0iYpv0HsUsRo,"{'thankyou6131013', 'trending', 'favorite', 'RT', 'definitely', 'WithYou', 'BTS', 'My', 'Billboard', 'BTS_twt', 'JIMIN', 'BTSJIMIN', 'song', 'ZarWin8', 'and…'}"
103,manri88,"{'Song', 'Choice', 'Trending', 'voting', 'RT', 'BTS', ""'m"", 'CallMeSmutic', 'My', 'BTS_twt', 'I', 'jin', 'miss', 'YetToCome'}"
104,Mari94034348,"{'1', 'm…', 'HOT', 'JiminUnited', 'RT', '501,471', 'mentions', 'REPLY', 'You', 'using', '🔺', 'Updated', 'KST', '10AM', 'SONGS', 'TRENDING', 'tags', 'Keep', 'With', 'BILLBOARD', '—'}"
105,YxinBts13,"{'2022', 'trending', 'hot', 'GOOD', 'LIKE', 'RT', 'listen', 'BTS', 'WithYou', 'JIMIN', 'BTS_twt', 'BTSJIMIN', 'jmonlyjm', 'and…', 'song', 'BE', 'love', 'I'}"
106,Just_JiMin1995,"{'JIMIN', 'BTSJIMIN', 'hot', 'listen', 'BTS', 'song', 'I', 'BE', 'love', '2022', 'GOOD', 'jms_Vocalist', 'WithYou', 'THE', 'BTS_twt', 'TILL', 'END', 'trending', 'LIKE', 'Sungwoon', 'WITH'}"
107,9510131365244jm,"{'2022', 'trending', '’', 'hot', 'RT', 'WithYou', 'BTS', 'a…', 'listening', 'JIMIN', 'BTS_twt', 'BTSJIMIN', 'querapark1013', 'miningfuljimin', 'I', 'ost'}"
108,jiminfinity8,"{'\U0001fab4\U0001fab4', 'record', 'Trending', 'India', 'From', 'Listening', 'breaker', 'BTS', 'namjoonlyricbot', 'BTS_twt', 'BTS_Butter', 'choice', 'song', 'weverseofficial'}"
109,AnitaLa32141654,"{'Song', 'Trending', 'RT', 'Yes', 'WithYou', 'BTS', 'Hot', 'JIMIN', 'Billboard', 'choice', 'BTSJIMIN', 'BTS_twt', 'What', 'pjmsupport_ke', 'and…', 'course', ""'s""}"
110,xinhxinhmini,"{'2022', 'jiminarticles', 'trending', '’', 'hot', 'BTS_twt…', 'RT', 'WithYou', 'BTS', 'OST', '500rpls', 'JIMIN', 'BTS_twt', 'BTSJIMIN', 'I', 'minitiny4', 'love'}"
111,HuskaStacey,"{'t.co/KyE0wSpaoZ', 'triggering', 'Putin', 'global', 'RT', 'West', 'CTVNews', 'crisis', 'https', 'economic', 't.co/Y9bnG7pgpS', 'says'}"
112,Seokjinnies06,"{'103K', 'trending', 'OUR', 'EPIPHANY', 'RT', 'currently', 'seokjin', 'category', 'music', 'tweets', 'My', 'Billboard', 'choice', 'Mybelovedjinnie', 'Hot…', 'JIN'}"
113,VarunYa62941789,"{'MOHDSHA79689355', 'Please', 'Trending', 'no=1', 'JUSTICEFORUPLEKHAPALSTUDENTS', 'RT', 'UPGovt', 'CMOff…', 'Hasetag', 'action', 'myogiadityanath', 'government'}"
114,TakeOverPLUG,"{'TTO', 'DM', 'shoot', 'serious', 'game', 'Industry', 'Movies', 'ARTIST', 'video', 'getting', 'Quality', 'If', 'T_O_P', 'quote', 'IceColdd', 'AT', 'GET', 'ME', 'equipment', 'Professional', 'budget', 'want', 'Music', 'Studio', 'sets', 'PhantomFilms', 'ATTENTION'}"
115,ArelaTanu,"{'dsrajpurohit291', 'RLPINDIAorg…', 'QamarAnchor', 'RT', 'KrishnaPooniaIN', 'Haryananewz', 'garrywalia', 'PrincessRajkum6', 'JituChaudhary25', 'hanumanbeniwal'}"
116,xinhxinhmini,"{'2022', 'trending', '’', 'Sungw…', 'hot', 'lovinbts7', '👉I', 'RT', 'WithYou', 'BTS', 'minitiny4', 'listening', 'JIMIN', 'BTS_twt', 'BTSJIMIN', 'ost'}"
117,ilykv_,"{'No', 'trending', 'hot', 'Puples_Greens', 't.co/jvyhQ1cPC6', 'RT', '버터', 'BTS', 'question', '못참지🤗', 'BTS_Butter', 'BTS_twt', 'deserves', 'song', 'https', 'mind'}"
118,althoonie,"{'trending', 'PERFORMANCE', 'TREASUREs_chart', '1', 'EXCLUSIVE', 'Per…', 'RT', 'YouTube', '6', ""'DARARI"", 'VIDEO', 'REMIX', 'Worldwide', 'Thailand', 'Overall'}"
